Uniprot	EntrezID
A0A0D9SCP8	103226664
A0A0D9S7T4	103225126
A0A0D9R8N9	103227972
A0A0D9S2E7	103238986
A0A0D9S1K4	103233389
A0A0D9RDZ5	103223063
A0A0D9RFK6	103226730
A0A0D9REN8	103244824
A0A0D9RUA6	103242965
A0A0D9RM09	103237849
A0A0D9S2J9	103248407
A0A0D9QW67	103234556
A0A0D9RIH7	103244750
A0A0D9REU5	103237328
A0A0D9R474	103242631
A0A0D9RKZ7	103237915
A0A0D9RDF6	103218465
A0A0D9RL35	103237071
A0A0D9RKS6	103229252
A0A0D9RMY5	103244508
A0A0D9QVS4	103233223
A0A0D9RUK5	103215488
A0A0D9RR12	103239719
A0A0D9R3Z6	103218003
A0A0D9S4G4	103243715
A0A0D9RPJ7	103245349
A0A0D9REY6	103241608
A0A0D9SCF0	103243464
A0A0D9R4X0	103233013
A0A0D9S644	103224138
A0A0D9RLA4	103221157
A0A0D9R641	103217934
A0A0D9RJJ7	103242250
A0A0D9R0J4	103238331
A0A0D9QXH2	103243051
A0A0D9QZV6	103238372
A0A0D9RSL4	103243712
A0A0D9R8V0	103242449
A0A0D9QX70	103243070
A0A0D9R095	103231331
A0A0D9S5N9	103223963
A0A0D9S5R5	103239456
A0A0D9SB84	103249027
A0A0D9RB59	103244980
A0A0D9RSH2	103226148
A0A0D9RX98	103241114
A0A0D9RRK9	103220095
A0A0D9SAS0	103215790
A0A0D9S1L7	103236411
A0A0D9RNK7	103226372
A0A0D9RBR9	103226899
A0A0D9RS94	103230126
A0A0D9QZB6	103216447
A0A0D9S681	103224170
A0A0D9S4S8	103243749
A0A0D9RRF0	103227624
A0A0D9S2H9	103236625
A0A0D9RDI7	103242359
A0A0D9RHY8	103245547
A0A0D9S0T4	103233362
A0A0D9RH42	103242301
A0A0D9RZM2	103249002
A0A0D9SD32	103238457
A0A0D9RHL7	103233621
A0A0D9RX36	103215112
A0A0D9RKH0	103227765
A0A0D9RSE0	103230118
A0A0D9S356	103239088
A0A0D9R7R3	103242485
A0A0D9R7W9	103219551
A0A0D9S898	103225403
A0A0D9S9Z3	103232420
A0A0D9S2V2	103233478
A0A0D9RS44	103223388
A0A0D9RZE1	103222480
A0A0D9S1D4	103248254
A0A0D9SBG0	103215390
A0A0D9RH38	103238049
A0A0D9QV91	103236114
A0A0D9R4I1	103242625
A0A0D9RRP9	103217279
A0A0D9R4R7	103216155
A0A0D9QUX0	103233297
A0A0D9RNV7	103227683
A0A0D9RTU1	103215535
A0A0D9R165	103234076
A0A0D9RQF4	103245269
A0A0D9RTA6	103226113
A0A0D9QZA8	103216448
A0A0D9RJY7	103244663
A0A0D9RIB3	103238016
A0A0D9RB09	103221674
A0A0D9RD15	103218475
A0A0D9S933	103225743
A0A0D9R0D6	103231160
A0A0D9RHP9	103229375
A0A0D9S9A3	103242365
A0A0D9RHD0	103229387
A0A0D9R1E9	103238263
A0A0D9RK63	103244660
A0A0D9R1W3	103228379
A0A0D9S5W7	103235283
A0A0D9RFE7	103241599
A0A0D9S9T5	103220782
A0A0D9RG04	103219068
A0A0D9S5M2	103223952
A0A0D9RH46	103227858
A0A0D9RMS3	103245375
A0A0D9R0S0	103238319
A0A0D9R2K7	103229876
A0A0D9SCJ9	103221944
